metric,k,value
accuracy_by_k,1,0.407734510905928
accuracy_by_k,2,0.4267362505018065
accuracy_by_k,3,0.4786564967215308
accuracy_by_k,4,0.5784825371336813
accuracy_by_k,5,0.6369597216646594
accuracy_by_k,6,0.639502207948615
accuracy_by_k,7,0.6365582764619296
accuracy_by_k,8,0.6308042285561354
average_score_by_k,1,0.407734510905928
average_score_by_k,2,0.4267362505018065
average_score_by_k,3,0.4786564967215308
average_score_by_k,4,0.5784825371336813
average_score_by_k,5,0.6369597216646594
average_score_by_k,6,0.639502207948615
average_score_by_k,7,0.6365582764619296
average_score_by_k,8,0.6308042285561354
distribution_of_k_star,1,4939
distribution_of_k_star,2,1243
distribution_of_k_star,3,396
distribution_of_k_star,4,446
distribution_of_k_star,5,319
distribution_of_k_star,6,75
distribution_of_k_star,7,32
distribution_of_k_star,8,23
percentage_of_examples_where_outputs_change_across_k,,97.3638431687408
